RefDes,Quantity,Manufacturer Part Number,Manufacturer,Description,Mounting,Package
"C1, C7",2,EEU-FR1V471,Panasonic,CAP ALUM 470UF 20% 35V RADIAL,THT,
C2,1,CL21A475KPFNNNE,Samsung,CAP CER 4.7UF 10V X5R 0805,SMT,0805
"C3, C4, C8",3,CC0603KRX7R9BB104,Yageo,CAP CER 0.1UF 50V X7R 0603,SMT,0603
"C5, C6",2,CC0603KRX5R6BB105,Yageo,CAP CER 1UF 10V X5R 0603,SMT,0603
"C9, C10, C11, C12",4,CC0603KRX7R9BB224,Yageo,CAP CER 0.22UF 50V X7R 0603,SMT,0603
"C13, C14, C15, C16",4,CC1206KKX7R9BB684,Yageo,CAP CER 0.68UF 50V X7R 1206,SMT,1206
"C17, C18, C19, C20",4,CC0603JRNPO9BN102,Yageo,CAP CER 1000PF 50V C0G/NPO 0603,SMT,0603
"L1, L2, L3, L4",4,1255AY-4R7M=P3,Murata,FIXED IND 4.7UH 4.5A 27.6 MOHM,SMT,
"R1, R2",2,RC0603FR-074K7L,Yageo,RES SMD 4.7K OHM 1% 1/10W 0603,SMT,0603
"R3, R4",2,RC0603FR-0715KL,Yageo,RES SMD 15K OHM 1% 1/10W 0603,SMT,0603
"T1, T2",2,MC24356-2,Multicomp,"TERMINAL BLOCK EUROSTYLE, 2 POSITION",THT,
U1,1,TAS5806MDCPR,Texas Instruments,IC AMP D MONO/STER 45W 38HTSSOP ,SMT,TSSOP38
